date,operation_type,store_code,department,quantity
4/27/2021,SALE,400000036311,Dep9,1
4/27/2021,SALE,400000024875,Dep10,1
4/27/2021,SALE,400000024295,Dep8,1
4/27/2021,SALE,400000016481,Dep12,1
4/27/2021,SALE,400000028200,Dep1,1
4/27/2021,SALE,400000019130,Dep1,1
4/27/2021,SALE,400000000619,Dep1,1
4/27/2021,SALE,400000021775,Dep1,1
4/27/2021,SALE,400000000480,Dep1,1
4/27/2021,SALE,400000024493,Dep1,1
4/27/2021,SALE,400000035635,Dep1,1
4/27/2021,SALE,400000011103,Dep1,1
4/27/2021,SALE,400000038131,Dep2,1
4/27/2021,SALE,400000017556,Dep20,1
4/27/2021,SALE,400000011127,Dep1,1
4/27/2021,SALE,400000011387,Dep1,2
4/27/2021,SALE,400000012018,Dep5,1
4/27/2021,SALE,400000023816,Dep9,1
4/27/2021,SALE,400000030777,Dep1,1
4/27/2021,SALE,400000028620,Dep5,1
4/27/2021,SALE,400000035154,Dep2,1
4/27/2021,SALE,400000035604,Dep2,1
4/27/2021,SALE,400000015927,Dep12,1
4/27/2021,SALE,400000036397,Dep2,1
4/27/2021,SALE,400000035604,Dep2,1
4/27/2021,SALE,400000035628,Dep2,1
4/27/2021,SALE,400000000619,Dep1,1
4/27/2021,SALE,400000000596,Dep1,1
4/27/2021,SALE,400000008905,Dep5,1
4/27/2021,SALE,400000023724,Dep10,1
4/27/2021,SALE,400000027012,Dep5,3
4/27/2021,SALE,400000038230,Dep2,1
4/27/2021,SALE,400000038117,Dep2,1
4/27/2021,SALE,400000031774,Dep2,1
4/27/2021,SALE,400000004747,Dep1,3
4/27/2021,SALE,400000012018,Dep5,1
4/27/2021,SALE,400000026848,Dep1,1
4/27/2021,SALE,400000026008,Dep5,1
4/27/2021,SALE,400000032191,Dep2,2
4/27/2021,SALE,400000014340,Dep5,1
4/27/2021,SALE,400000036267,Dep2,1
4/27/2021,SALE,400000002446,Dep1,2
4/27/2021,SALE,400000035260,Dep21,1
4/27/2021,SALE,400000035574,Dep2,1
4/26/2021,SALE,400000001043,Dep12,1
4/26/2021,SALE,400000011189,Dep1,1
4/26/2021,SALE,400000031781,Dep2,1
4/26/2021,SALE,400000033266,Dep15,1
4/26/2021,SALE,400000036618,Dep2,1
4/26/2021,SALE,400000028583,Dep12,1
4/26/2021,SALE,400000014302,Dep2,1
4/26/2021,SALE,400000000480,Dep1,1
4/26/2021,SALE,400000020532,Dep1,5
4/26/2021,SALE,400000032856,Dep2,1
4/26/2021,SALE,400000005492,Dep1,1
4/26/2021,SALE,400000014128,Dep1,1
4/26/2021,SALE,400000021362,Dep5,1
4/26/2021,SALE,400000032054,Dep5,1
4/26/2021,SALE,400000038414,Dep2,1
4/26/2021,SALE,400000038605,Dep2,1
4/26/2021,SALE,400000034874,Dep2,1
4/26/2021,SALE,400000036953,Dep2,1
4/26/2021,SALE,400000036670,Dep2,1
4/26/2021,SALE,400000037707,Dep5,1
4/26/2021,SALE,400000024806,Dep1,1
4/26/2021,SALE,400000038131,Dep2,1
4/26/2021,SALE,400000035116,Dep2,1
4/26/2021,SALE,400000037677,Dep9,1
4/26/2021,SALE,400000030241,Dep2,1
4/26/2021,SALE,400000033198,Dep10,1
4/26/2021,SALE,400000028293,Dep5,1
4/26/2021,SALE,400000000527,Dep1,1
4/26/2021,SALE,400000018867,Dep1,1
4/26/2021,SALE,400000018843,Dep1,1
4/26/2021,SALE,400000021270,Dep12,2
4/26/2021,SALE,400000005492,Dep1,5
4/26/2021,SALE,400000037486,Dep2,1
4/26/2021,SALE,400000033372,Dep2,1
4/26/2021,SALE,400000036830,Dep1,1
4/26/2021,SALE,400000013299,Dep1,1
4/26/2021,SALE,400000024493,Dep1,1
4/26/2021,SALE,400000035062,Dep6,1
4/26/2021,SALE,400000033020,Dep5,2
4/26/2021,SALE,400000000497,Dep1,1
4/26/2021,SALE,400000035536,Dep2,1
4/26/2021,SALE,400000028200,Dep1,1
4/26/2021,SALE,400000034904,Dep2,1
4/26/2021,SALE,400000038575,Dep2,1
4/26/2021,SALE,400000038599,Dep2,1
4/26/2021,SALE,400000000497,Dep1,2
4/26/2021,SALE,400000035659,Dep2,1
4/26/2021,SALE,400000030371,Dep17,1
4/26/2021,SALE,400000033006,Dep5,1
4/26/2021,SALE,400000034881,Dep2,1
4/26/2021,SALE,400000035536,Dep2,1
4/26/2021,SALE,400000031798,Dep2,1
4/26/2021,SALE,400000023380,Dep15,1
4/26/2021,SALE,400000003269,Dep1,15
4/26/2021,SALE,400000014654,Dep5,1
4/26/2021,SALE,400000038605,Dep2,1
4/26/2021,SALE,400000011134,Dep13,1
4/26/2021,SALE,400000028613,Dep5,1
4/26/2021,SALE,400000035659,Dep2,1
4/26/2021,SALE,400000038131,Dep2,1
4/26/2021,SALE,400000036953,Dep2,1
4/26/2021,SALE,400000037677,Dep9,1
4/26/2021,SALE,400000030869,Dep2,2
4/26/2021,SALE,400000038360,Dep1,5
4/26/2021,SALE,400000037073,Dep1,5
4/26/2021,SALE,400000033273,Dep15,1
4/26/2021,SALE,400000034911,Dep2,1
4/26/2021,SALE,400000032849,Dep2,1
4/26/2021,SALE,400000001050,Dep1,1
4/26/2021,SALE,400000029870,Dep1,1
4/26/2021,SALE,400000028583,Dep12,1
4/26/2021,SALE,400000012018,Dep5,2
4/26/2021,SALE,400000030371,Dep17,1
4/26/2021,SALE,400000037813,Dep3,1
4/26/2021,SALE,400000036694,Dep2,1
4/26/2021,SALE,400000012018,Dep5,1
4/26/2021,SALE,400000027036,Dep1,1
4/26/2021,SALE,400000035659,Dep2,1
4/26/2021,SALE,400000028965,Dep1,1
4/26/2021,SALE,400000028989,Dep1,2
4/26/2021,SALE,400000027036,Dep1,2
4/26/2021,SALE,400000028996,Dep1,2
4/26/2021,SALE,400000028972,Dep1,2
4/26/2021,SALE,400000028989,Dep1,2
4/26/2021,SALE,400000018843,Dep1,1
4/26/2021,SALE,400000000909,Dep1,1
4/26/2021,SALE,400000029979,Dep2,1
4/26/2021,SALE,400000035536,Dep2,1
4/26/2021,SALE,400000035512,Dep2,1
4/26/2021,SALE,400000036694,Dep2,2
4/26/2021,SALE,400000024486,Dep5,1
4/26/2021,SALE,400000034157,Dep2,1
4/26/2021,SALE,400000030869,Dep2,2
4/26/2021,SALE,400000034942,Dep2,1
4/26/2021,SALE,400000034881,Dep2,1
4/26/2021,SALE,400000028583,Dep12,1
4/26/2021,SALE,400000036311,Dep9,1
4/26/2021,SALE,400000032856,Dep2,1
4/26/2021,SALE,400000034898,Dep2,1
4/26/2021,SALE,400000029955,Dep2,2
4/26/2021,SALE,400000036670,Dep2,1
4/26/2021,SALE,400000038124,Dep2,1
4/26/2021,SALE,400000038599,Dep2,1
4/26/2021,SALE,400000038162,Dep2,1
